iter	Logloss
0	0.6348098991
1	0.5930778964
2	0.5601338895
3	0.5348864613
4	0.5162027843
5	0.5021418605
6	0.4886938361
7	0.4765930919
8	0.465679898
9	0.4584130295
10	0.4506559076
11	0.4443393035
12	0.4389845332
13	0.4340723941
14	0.4301919012
15	0.4280421214
16	0.4249148199
17	0.421997178
18	0.4187357556
19	0.4167391704
20	0.4150330579
21	0.4140465024
22	0.4115910671
23	0.4104571002
24	0.4101200524
25	0.408186593
26	0.4070546594
27	0.4054305067
28	0.4041974615
29	0.4028407289
30	0.4012851618
31	0.4000756206
32	0.4000725074
33	0.3987456929
34	0.3986361257
35	0.3975519895
36	0.3963826529
37	0.3942413131
38	0.3934352047
39	0.3918370888
40	0.3910074231
41	0.3901243547
42	0.3897611518
43	0.3888571995
44	0.3882956206
45	0.3871215956
46	0.3863377837
47	0.3853253252
48	0.3849016462
49	0.3848981204
50	0.3841170777
51	0.3835088761
52	0.38337601
53	0.3831585445
54	0.382711374
55	0.3823100038
56	0.3812463158
57	0.3807350806
58	0.3803369692
59	0.3803357897
60	0.3792740881
61	0.3786446343
62	0.3784225733
63	0.3775623437
64	0.3772841128
65	0.3767557974
66	0.3762831448
67	0.3758242444
68	0.3755258298
69	0.3753036691
