iter	Passed	Remaining
0	70	4869
1	133	4529
2	206	4616
3	286	4729
4	357	4646
5	409	4365
6	504	4539
7	589	4567
8	680	4610
9	747	4484
10	834	4477
11	912	4410
12	994	4360
13	1095	4382
14	1173	4301
15	1198	4043
16	1308	4080
17	1392	4023
18	1474	3959
19	1579	3949
20	1651	3853
21	1708	3726
22	1801	3680
23	1874	3593
24	1904	3427
25	2001	3387
26	2099	3343
27	2184	3276
28	2259	3194
29	2345	3127
30	2435	3064
31	2544	3021
32	2559	2869
33	2643	2798
34	2682	2682
35	2776	2621
36	2881	2570
37	2977	2507
38	3070	2440
39	3179	2384
40	3289	2326
41	3400	2266
42	3476	2182
43	3582	2116
44	3681	2045
45	3781	1972
46	3867	1892
47	3955	1812
48	4048	1734
49	4082	1632
50	4175	1555
51	4275	1479
52	4365	1400
53	4467	1323
54	4582	1249
55	4689	1172
56	4793	1093
57	4884	1010
58	4997	931
59	5025	837
60	5107	753
61	5224	674
62	5314	590
63	5404	506
64	5499	423
65	5597	339
66	5708	255
67	5798	170
68	5890	85
69	5975	0
